"Sales By Date"
"Report Generated","Dec. 20, 2013 8:40 AM"
"Date From","Nov. 13, 2013"
"Date To","Dec. 20, 2013"

Date,Sales
"Nov. 13, 2013","49,028.55"
"Nov. 14, 2013","31,796.72"
"Nov. 15, 2013","29,278.75"
"Nov. 16, 2013","30,358.50"
"Nov. 17, 2013",0.00
"Nov. 18, 2013","48,550.00"
"Nov. 19, 2013","41,106.25"
"Nov. 20, 2013","36,041.00"
"Nov. 21, 2013","42,350.25"
"Nov. 22, 2013","26,458.75"
"Nov. 23, 2013","43,159.46"
"Nov. 24, 2013",0.00
"Nov. 25, 2013","34,891.00"
"Nov. 26, 2013","53,245.75"
"Nov. 27, 2013","61,240.91"
"Nov. 28, 2013","20,883.90"
"Nov. 29, 2013","34,884.00"
"Nov. 30, 2013","42,177.31"
"Dec. 1, 2013",0.00
"Dec. 2, 2013","92,457.43"
"Dec. 3, 2013","43,847.85"
"Dec. 4, 2013","54,925.40"
"Dec. 5, 2013","24,442.75"
"Dec. 6, 2013","45,151.75"
"Dec. 7, 2013","72,020.50"
"Dec. 8, 2013",0.00
"Dec. 9, 2013","47,801.25"
"Dec. 10, 2013","44,692.75"
"Dec. 11, 2013","23,617.00"
"Dec. 12, 2013","2,439.75"
"Dec. 13, 2013","36,590.25"
"Dec. 14, 2013","76,867.25"
"Dec. 15, 2013",0.00
"Dec. 16, 2013","15,728.50"
"Dec. 17, 2013","60,461.90"
"Dec. 18, 2013","28,049.25"
"Dec. 19, 2013","32,740.75"
"Dec. 20, 2013","1,482.75"
